arm,score_key,k,original_proxy_mean,original_proxy_gain,fixed_vocal_proxy_mean,fixed_vocal_proxy_gain,counterfactual_gain_retention,fixed_vocal_beat_v2,fixed_vocal_beat_v5_madmom,fixed_vocal_beat_v5_beat_this,fixed_vocal_coverage
beat_v2_coverage_floor_q25,beat_v2_coverage_floor_q25,16,0.8907403371113048,0.2493858350449577,0.5410470004439243,-0.10030750162242286,-0.402218119583015,0.5410470004439243,0.4587132800491146,0.46110988243496187,0.7980051648130144
beat_v5_coverage_floor_q25,beat_v5_coverage_floor_q25,1,0.5020376009589627,0.0,0.5020376009589627,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_coverage_floor_q25,beat_v5_coverage_floor_q25,2,0.5565570524307114,0.05451945147174875,0.5389946088924439,0.03695700793348122,0.6778683008693118,0.6584179285360577,0.5389946088924439,0.5187710863746827,0.8176100773421858
beat_v5_coverage_floor_q25,beat_v5_coverage_floor_q25,4,0.5748794146276159,0.07284181366865328,0.5449148831579906,0.04287728219902798,0.588635565748959,0.6312978768258422,0.5449148831579906,0.48494014667415525,0.806816164664333
beat_v5_coverage_floor_q25,beat_v5_coverage_floor_q25,8,0.5798808746281885,0.07784327366922583,0.5347901912467384,0.032752590287775774,0.42075042253424677,0.619655719963097,0.5347901912467384,0.4749124903316033,0.8092918800942233
beat_v5_coverage_floor_q25,beat_v5_coverage_floor_q25,16,0.6279614854570508,0.1259238844980881,0.5069862124348958,0.004948611475933173,0.039298434094989405,0.35520322844017205,0.5069862124348958,0.41177023869376006,0.8454080266047479
beat_v5_detector_ensemble_coverage_floor_q25,beat_v5_detector_ensemble_coverage_floor_q25,1,0.4948768669785435,0.0,0.4948768669785435,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_detector_ensemble_coverage_floor_q25,beat_v5_detector_ensemble_coverage_floor_q25,2,0.5490728833734558,0.05419601639491234,0.5322534347198569,0.03737656774131337,0.689655259326811,0.6584179285360577,0.5389946088924439,0.5187710863746827,0.8176100773421858
beat_v5_detector_ensemble_coverage_floor_q25,beat_v5_detector_ensemble_coverage_floor_q25,4,0.5529668327166373,0.058089965738093774,0.5249233043300456,0.030046437351502142,0.5172397154952793,0.6312978768258422,0.5449148831579906,0.48494014667415525,0.806816164664333
beat_v5_detector_ensemble_coverage_floor_q25,beat_v5_detector_ensemble_coverage_floor_q25,8,0.5574909948180523,0.06261412783950882,0.5148309576083601,0.019954090629816568,0.3186835194919981,0.619655719963097,0.5347901912467384,0.4749124903316033,0.8092918800942233
beat_v5_detector_ensemble_coverage_floor_q25,beat_v5_detector_ensemble_coverage_floor_q25,16,0.5944535236645814,0.09957665668603788,0.45945749363242,-0.035419373346123495,-0.3556995637822997,0.3451091179362255,0.47977031451323143,0.4188318518707971,0.844873505052932
beat_v5_detector_ensemble_confidence_product,beat_v5_detector_ensemble_confidence_product,1,0.48815999975773505,0.0,0.48815999975773505,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_detector_ensemble_confidence_product,beat_v5_detector_ensemble_confidence_product,2,0.5144413743902945,0.026281374632559418,0.5016301456806225,0.013470145922887422,0.5125358209459696,0.6523190045248868,0.521253015098123,0.5231082391245874,0.7445157295865836
beat_v5_detector_ensemble_confidence_product,beat_v5_detector_ensemble_confidence_product,4,0.5352562283123097,0.047096228554574626,0.508006666358259,0.01984666660052392,0.4214067072807286,0.6650031289111389,0.5286675626285008,0.5295872140716148,0.7660658555808322
beat_v5_detector_ensemble_confidence_product,beat_v5_detector_ensemble_confidence_product,8,0.5428836580947356,0.05472365833700055,0.4815726480109126,-0.006587351746822456,-0.12037484238089619,0.6427226741760534,0.5005301817946798,0.5023598979380262,0.7778262530916473
